id,created_at,amenity_slug,description,website_url,logo_url,vibe_tags,booking_required,available_in_tr,price_level,opening_hours,terminal_code,airport_code,name
30000,2025-08-03T15:31:40.003Z,rhythm-of-nature-sinjewel,"",,,{Explore},false,false,,{},SIN-JEWEL,SIN,"Rhythm of Nature"
30001,2025-08-03T15:31:40.004Z,fila-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"FILA"
30002,2025-08-03T15:31:40.004Z,furla-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"Furla"
30003,2025-08-03T15:31:40.004Z,the-digital-gadgets-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"The Digital Gadgets"
30004,2025-08-03T15:31:40.004Z,filajewel-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"fila-jewel"
30005,2025-08-03T15:31:40.004Z,furlajewel-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"furla-jewel"
30006,2025-08-03T15:31:40.004Z,irvinssaltedeggjewel-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"irvins-salted-egg-jewel"
30007,2025-08-03T15:31:40.004Z,rhythmofnature-sinjewel,"",,,{Explore},false,false,,{},SIN-JEWEL,SIN,"rhythm-of-nature"
30008,2025-08-03T15:31:40.004Z,thedigitalgadgetsjewel-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"the-digital-gadgets-jewel"
30009,2025-08-03T15:31:40.004Z,uniqlojewel-sinjewel,"",,,{Shop},false,false,,{},SIN-JEWEL,SIN,"uniqlo-jewel"
30010,2025-08-03T15:31:40.004Z,mother-and-child-sint1,"",,,{Explore},false,false,,{},SIN-T1,SIN,"Mother and Child"
30011,2025-08-03T15:31:40.004Z,saga-seed-sint1,"",,,{Explore},false,true,,{},SIN-T1,SIN,"Saga Seed"
30012,2025-08-03T15:31:40.004Z,travelling-family-sint1,"",,,{Explore},false,false,,{},SIN-T1,SIN,"Travelling Family"
30013,2025-08-03T15:31:40.004Z,electronics-computers-by-sprintcass-sint1,"",,,{Shop},false,true,,{},SIN-T1,SIN,"Electronics Computers by Sprint-Cass"
30014,2025-08-03T15:31:40.004Z,fragrance-bak-kwa-sint1,"",,,{Shop},false,true,,{},SIN-T1,SIN,"Fragrance Bak Kwa"
30015,2025-08-03T15:31:40.004Z,garrett-popcorn-shops-sint1,"",,,{Shop},false,true,,{},SIN-T1,SIN,"Garrett Popcorn Shops®"
30016,2025-08-03T15:31:40.004Z,gassan-watches-sint1,"",,,{Shop},false,true,,{},SIN-T1,SIN,"Gassan Watches"
30017,2025-08-03T15:31:40.004Z,giordano-sint1,"",,,{Shop},false,true,,{},SIN-T1,SIN,"Giordano"
30018,2025-08-03T15:31:40.004Z,guardian-health-beauty-level-2-shop-16-sint1,"",,,{Shop,Quick},false,true,,{"Monday-Sunday":"24/7"},SIN-T1,SIN,"Guardian Health & Beauty - Level 2 Shop 16"
