id,created_at,amenity_slug,description,website_url,logo_url,vibe_tags,booking_required,available_in_tr,price_level,opening_hours,terminal_code,airport_code,name
20000,2025-08-03T17:54:30.604Z,rhythm-of-nature-sinjewel,"",,,{Explore},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-JEWEL,SIN,"Rhythm of Nature"
20001,2025-08-03T17:54:30.605Z,fila-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-JEWEL,SIN,"FILA"
20002,2025-08-03T17:54:30.605Z,furla-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-JEWEL,SIN,"Furla"
20003,2025-08-03T17:54:30.605Z,irvins-salted-egg-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-JEWEL,SIN,"Irvins Salted Egg"
20004,2025-08-03T17:54:30.605Z,the-digital-gadgets-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-JEWEL,SIN,"The Digital Gadgets"
20005,2025-08-03T17:54:30.605Z,uniqlo-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-JEWEL,SIN,"Uniqlo"
20006,2025-08-03T17:54:30.605Z,filajewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"fila-jewel"
20007,2025-08-03T17:54:30.605Z,furlajewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"furla-jewel"
20008,2025-08-03T17:54:30.605Z,irvinssaltedeggjewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"irvins-salted-egg-jewel"
20009,2025-08-03T17:54:30.605Z,rhythmofnature-sinjewel,"",,,{Explore},false,true,$$,"{}",SIN-JEWEL,SIN,"rhythm-of-nature"
20010,2025-08-03T17:54:30.605Z,thedigitalgadgetsjewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"the-digital-gadgets-jewel"
20011,2025-08-03T17:54:30.605Z,uniqlojewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"uniqlo-jewel"
20012,2025-08-03T17:54:30.605Z,canopy-park-sinjewel,"Indoor park with nets, mazes and slides",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Canopy Park"
20013,2025-08-03T17:54:30.605Z,foggy-bowls-sinjewel,"Mist-filled play areas for children",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Foggy Bowls"
20014,2025-08-03T17:54:30.605Z,hedge-maze-sinjewel,"Singapore's largest hedge maze",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Hedge Maze"
20015,2025-08-03T17:54:30.605Z,manulife-sky-nets-sinjewel,"Walking and bouncing nets suspended in the air",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Manulife Sky Nets"
20016,2025-08-03T17:54:30.605Z,mirror-maze-sinjewel,"Immersive mirror maze experience",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Mirror Maze"
20017,2025-08-03T17:54:30.605Z,rain-vortex-sinjewel,"The world's tallest indoor waterfall",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Rain Vortex"
20018,2025-08-03T17:54:30.605Z,shiseido-forest-valley-sinjewel,"Lush indoor forest with walking trails",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Shiseido Forest Valley"
20019,2025-08-03T17:54:30.605Z,changi-experience-studio-sinjewel,"Interactive digital attraction about Changi Airport",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Changi Experience Studio"
20020,2025-08-03T17:54:30.605Z,social-tree-sinjewel,"Interactive installation for photo sharing",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Social Tree"
20021,2025-08-03T17:54:30.605Z,bengawan-solo-sinjewel,"Traditional Singaporean cakes and kueh",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Bengawan Solo"
20022,2025-08-03T17:54:30.605Z,tiger-street-lab-sinjewel,"Craft beer and local fare",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Tiger Street Lab"
20023,2025-08-03T17:54:30.605Z,din-tai-fung-sinjewel,"Renowned Taiwanese restaurant famous for xiaolongbao",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Din Tai Fung"
20024,2025-08-03T17:54:30.605Z,koi-th-sinjewel,"Premium Taiwanese bubble tea",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Koi Thé"
20025,2025-08-03T17:54:30.605Z,song-fa-bak-kut-teh-sinjewel,"Award-winning pork rib soup",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Song Fa Bak Kut Teh"
20026,2025-08-03T17:54:30.605Z,travelex-sinjewel,"Global foreign exchange services",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Travelex"
20027,2025-08-03T17:54:30.605Z,uob-currency-exchange-sinjewel,"Competitive rates for currency exchange",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"UOB Currency Exchange"
20028,2025-08-03T17:54:30.605Z,telecommunications-kiosk-sinjewel,"SIM cards and mobile services",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Telecommunications Kiosk"
20029,2025-08-03T17:54:30.605Z,trs-tax-refund-sinjewel,"Tourist refund scheme counter",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"TRS Tax Refund"
20030,2025-08-03T17:54:30.605Z,spa-express-sinjewel,"Quick massage and spa treatments",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Spa Express"
20031,2025-08-03T17:54:30.605Z,kinokuniya-sinjewel,"Comprehensive Japanese bookstore",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Kinokuniya"
20032,2025-08-03T17:54:30.605Z,zara-sinjewel,"Spanish fast fashion retailer",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Zara"
20033,2025-08-03T17:54:30.605Z,irvins-salted-egg-sinjewel,"Popular salted egg fish skin and chips",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Irvins Salted Egg"
20034,2025-08-03T17:54:30.605Z,eu-yan-sang-sinjewel,"Traditional Chinese medicine",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Eu Yan Sang"
20035,2025-08-03T17:54:30.605Z,muji-sinjewel,"Minimalist Japanese home goods",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Muji"
20036,2025-08-03T17:54:30.605Z,mother-and-child-sint1,"",,,{Explore},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Mother and Child"
20037,2025-08-03T17:54:30.605Z,saga-seed-sint1,"",,,{Explore},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Saga Seed"
20038,2025-08-03T17:54:30.605Z,travelling-family-sint1,"",,,{Explore},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Travelling Family"
20039,2025-08-03T17:54:30.605Z,electronics-computers-by-sprintcass-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Electronics Computers by Sprint-Cass"
20040,2025-08-03T17:54:30.605Z,fragrance-bak-kwa-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Fragrance Bak Kwa"
20041,2025-08-03T17:54:30.605Z,garrett-popcorn-shops-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Garrett Popcorn Shops®"
20042,2025-08-03T17:54:30.605Z,gassan-watches-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Gassan Watches"
20043,2025-08-03T17:54:30.605Z,giordano-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Giordano"
20044,2025-08-03T17:54:30.605Z,guardian-health-beauty-level-2-shop-16-sint1,"",,,{Shop,Quick},false,true,$$,"{"Monday-Sunday":"24/7"}",SIN-T1,SIN,"Guardian Health & Beauty - Level 2 Shop 16"
20045,2025-08-03T17:54:30.605Z,guardian-health-beauty-level-2-shop-69-sint1,"",,,{Shop,Quick},false,true,$$,"{"Monday-Sunday":"06:00-00:00"}",SIN-T1,SIN,"Guardian Health & Beauty - Level 2 Shop 69"
20046,2025-08-03T17:54:30.605Z,gucci-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Gucci"
20047,2025-08-03T17:54:30.605Z,herms-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"HERMÈS"
20048,2025-08-03T17:54:30.605Z,irvins-salted-egg-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Irvins Salted Egg"
20049,2025-08-03T17:54:30.605Z,kaboom-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Kaboom"
20050,2025-08-03T17:54:30.605Z,lindt-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Lindt"
20051,2025-08-03T17:54:30.605Z,longchamp-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Longchamp"
20052,2025-08-03T17:54:30.605Z,lotte-duty-free-wines-spirits-level-1-shop-10-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday":"24/7"}",SIN-T1,SIN,"LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 10"
20053,2025-08-03T17:54:30.605Z,lotte-duty-free-wines-spirits-level-1-shop-23-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday":"24/7"}",SIN-T1,SIN,"LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 23"
20054,2025-08-03T17:54:30.605Z,lotte-duty-free-wines-spirits-level-2-shop-53-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday":"24/7"}",SIN-T1,SIN,"LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 53"
20055,2025-08-03T17:54:30.605Z,lotte-duty-free-wines-spirits-level-2-shop-68-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday":"06:00-00:00"}",SIN-T1,SIN,"LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 68"
20056,2025-08-03T17:54:30.605Z,lotte-duty-free-wines-spirits-level-2-shop-22-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday":"06:00-00:00"}",SIN-T1,SIN,"LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 22"
20057,2025-08-03T17:54:30.605Z,lotte-duty-free-wines-spirits-level-2-shop-46-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday":"24/7"}",SIN-T1,SIN,"LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 46"
20058,2025-08-03T17:54:30.605Z,louis-vuitton-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Louis Vuitton"
20059,2025-08-03T17:54:30.605Z,lululemon-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"lululemon"
20060,2025-08-03T17:54:30.605Z,sunglass-hut-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Sunglass Hut"
20061,2025-08-03T17:54:30.605Z,swarovski-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Swarovski"
20062,2025-08-03T17:54:30.605Z,tiffany-co-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Tiffany & Co."
20063,2025-08-03T17:54:30.605Z,times-travel-sint1,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "06:00-23:00"}",SIN-T1,SIN,"Times Travel"
