id,created_at,amenity_slug,description,website_url,logo_url,vibe_tags,booking_required,available_in_tr,price_level,opening_hours,terminal_code,airport_code,name
1,2025-08-02T17:52:45.407Z,canopy-park-jewel,"Indoor park with nets, mazes and slides",,,"{Chill,Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Canopy Park"
2,2025-08-02T17:52:45.408Z,foggy-bowls-jewel,"Mist-filled play areas for children",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Foggy Bowls"
3,2025-08-02T17:52:45.408Z,hedge-maze-jewel,"Singapore's largest hedge maze",,,"{Explore,Fun}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Hedge Maze"
4,2025-08-02T17:52:45.408Z,manulife-sky-nets-jewel,"Walking and bouncing nets suspended in the air",,,"{Explore,Fun}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Manulife Sky Nets"
5,2025-08-02T17:52:45.408Z,mirror-maze-jewel,"Immersive mirror maze experience",,,"{Explore,Fun}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Mirror Maze"
6,2025-08-02T17:52:45.408Z,rain-vortex-jewel,"The world's tallest indoor waterfall",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Rain Vortex"
7,2025-08-02T17:52:45.408Z,shiseido-forest-valley-jewel,"Lush indoor forest with walking trails",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Shiseido Forest Valley"
8,2025-08-02T17:52:45.408Z,changi-experience-studio-jewel,"Interactive digital attraction about Changi Airport",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Changi Experience Studio"
9,2025-08-02T17:52:45.408Z,social-tree-jewel,"Interactive installation for photo sharing",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Social Tree"
10,2025-08-02T17:52:45.408Z,bengawan-solo-jewel,"Traditional Singaporean cakes and kueh",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Bengawan Solo"
