id,created_at,amenity_slug,description,website_url,logo_url,vibe_tags,booking_required,available_in_tr,price_level,opening_hours,terminal_code,airport_code,name
50000,2025-08-03T22:22:05.911Z,rhythm-of-nature-sinjewel,"",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24/7"},SIN-JEWEL,SIN,"Rhythm of Nature"
50001,2025-08-03T22:22:05.912Z,fila-sinjewel,"",,,"{Shop}",false,true,$$,{"Monday-Sunday": "24/7"},SIN-JEWEL,SIN,"FILA"
50002,2025-08-03T22:22:05.912Z,furla-sinjewel,"",,,"{Shop}",false,true,$$,{"Monday-Sunday": "24/7"},SIN-JEWEL,SIN,"Furla"
50003,2025-08-03T22:22:05.912Z,irvins-salted-egg-sinjewel,"",,,"{Shop}",false,true,$$,{"Monday-Sunday": "24/7"},SIN-JEWEL,SIN,"Irvins Salted Egg"
50004,2025-08-03T22:22:05.912Z,the-digital-gadgets-sinjewel,"",,,"{Shop}",false,true,$$,{"Monday-Sunday": "24/7"},SIN-JEWEL,SIN,"The Digital Gadgets"
50005,2025-08-03T22:22:05.912Z,uniqlo-sinjewel,"",,,"{Shop}",false,true,$$,{"Monday-Sunday": "24/7"},SIN-JEWEL,SIN,"Uniqlo"
50006,2025-08-03T22:22:05.912Z,filajewel-sinjewel,"",,,"{Shop}",false,true,$$,{},SIN-JEWEL,SIN,"fila-jewel"
50007,2025-08-03T22:22:05.912Z,furlajewel-sinjewel,"",,,"{Shop}",false,true,$$,{},SIN-JEWEL,SIN,"furla-jewel"
50008,2025-08-03T22:22:05.912Z,irvinssaltedeggjewel-sinjewel,"",,,"{Shop}",false,true,$$,{},SIN-JEWEL,SIN,"irvins-salted-egg-jewel"
50009,2025-08-03T22:22:05.912Z,rhythmofnature-sinjewel,"",,,"{Explore}",false,true,$$,{},SIN-JEWEL,SIN,"rhythm-of-nature"
50010,2025-08-03T22:22:05.912Z,thedigitalgadgetsjewel-sinjewel,"",,,"{Shop}",false,true,$$,{},SIN-JEWEL,SIN,"the-digital-gadgets-jewel"
50011,2025-08-03T22:22:05.912Z,uniqlojewel-sinjewel,"",,,"{Shop}",false,true,$$,{},SIN-JEWEL,SIN,"uniqlo-jewel"
50012,2025-08-03T22:22:05.912Z,canopy-park-sinjewel,"Indoor park with nets, mazes and slides",,,"{}",false,true,$$,{},SIN-JEWEL,SIN,"Canopy Park"
50013,2025-08-03T22:22:05.912Z,foggy-bowls-sinjewel,"Mist-filled play areas for children",,,"{}",false,true,$$,{},SIN-JEWEL,SIN,"Foggy Bowls"
50014,2025-08-03T22:22:05.912Z,hedge-maze-sinjewel,"Singapore's largest hedge maze",,,"{}",false,true,$$,{},SIN-JEWEL,SIN,"Hedge Maze"
