"Name","Vibe(s)","Location","Opening Hours"
"Betty's Burgers","Food, Social, Quick","Before Security, Food Court","24/7"
"Campos Coffee","Food, Quick, Work, Relax, Comfort","After Security, near Gate 24","24/7"
"Heineken House","Social, Food, Entertainment, Relax, Comfort","After Security, near Gate 10","24/7"
"Kitchen by Mike","Food, Social, Quick, Comfort","After Security, near Gate 30","24/7"
"Lilong by Taste of Shanghai","Food, Social, Quick, Comfort","After Security, near Gate 56","24/7"
"McDonald's","Quick, Food, Comfort","After Security, near Gates 24 and 50","24/7"
"Sahara Grill","Quick, Food, Comfort","After Security, near Gate 10","24/7"
"SumoSalad Green on Green","Quick, Food, Healthy, Comfort","After Security, near Gate 24","24/7"
"Sushia","Food, Social, Quick, Comfort","After Security, near Gate 30","24/7"
"The Bistro by Wolfgang Puck","Food, Social, Premium, Quick, Comfort","After Security, near Gate 10","24/7"
"Toby's Estate","Food, Quick, Work, Comfort","After Security, towards Gates 50-63","24/7"
"Yo! Sushi","Food, Social, Quick, Comfort","After Security, The Food Court","24/7"
"Heinemann Tax & Duty Free","Shopping, Luxury, Quick, Comfort","After Security, multiple locations including near Gates 31-33","24/7"
"Louis Vuitton","Shopping, Luxury, Quick, Comfort","After Security, Luxury Precinct","24/7"
"Gucci","Shopping, Luxury, Quick, Comfort","After Security, towards Gates 50-63","24/7"
"Prada","Shopping, Luxury, Quick, Comfort","After Security, Luxury Precinct","24/7"
"Cartier","Shopping, Luxury, Quick, Comfort","After Security, Luxury Precinct","24/7"
"Burberry","Shopping, Luxury, Quick, Comfort","After Security, Luxury Precinct","24/7"
"Bottega Veneta","Shopping, Luxury, Quick, Comfort","After Security, Luxury Precinct","24/7"
"Gentle Monster","Shopping, Luxury, Quick, Comfort","After Security, Luxury Precinct","24/7"
"Rip Curl","Shopping, Fashion, Quick, Comfort","Before Security, Food Court","24/7"
"Amcal Pharmacy","Shopping, Convenience, Quick, Comfort","After Security, towards Gates 24-25","24/7"
"WHSmith","Shopping, Convenience, Quick, Comfort","After Security, near Gates 10, 30, 51, and 54","24/7"
"Global Exchange","Services, Convenience, Quick, Comfort","Multiple locations before and after security","24/7"
"Qantas International First Lounge","Relax, Quick, Comfort","Mezzanine Level, after Customs","05:00 – 22:00"
"Qantas International Business Lounge","Relax, Quick, Comfort","Mezzanine Level, after Customs","05:00 – 22:00"
"Air New Zealand Lounge","Relax, Quick, Comfort","Level 3, near Gate 59","06:00 – 21:00"
"Singapore Airlines SilverKris Lounge","Relax, Quick, Comfort","Level 3, near Gate 59","05:30 – 18:00"
"Emirates Lounge","Relax, Quick, Comfort","Level 1, near Gate 58","04:00 – 07:20 and 16:10 – 20:40"
"The Centurion Lounge (American Express)","Relax, Quick, Comfort","Departures Level, near Gates 50–63","06:00 – 21:00"
"The House by Aspire","Relax, Quick, Comfort","Departures Level, near Gate 50","05:00 – 22:00"
